Month,Day,Year,Temp Max,Temp Avg,Temp Min,Humidity Max,Humidity Avg,Humidity Min,Precipitation
Jan,1,2017,76,58.6,50,100,81.9,42,0
Jan,2,2017,76,62.2,54,97,76,32,0.15
Jan,3,2017,77,57.3,40,93,57.3,23,0.31
Jan,4,2017,48,42.5,36,82,59.8,47,0
Jan,5,2017,64,48.5,36,76,61.8,48,0
Jan,6,2017,35,30.8,24,62,54.9,50,0
Jan,7,2017,43,28.4,20,81,54.3,23,0
Jan,8,2017,52,35.9,17,88,55.5,17,0
Jan,9,2017,73,56.6,40,93,70.7,46,0
Jan,10,2017,81,65,59,93,76.2,39,0
Jan,11,2017,80,68,56,93,78.2,48,0
Jan,12,2017,81,72.8,65,93,74.1,49,0
Jan,13,2017,80,69.3,56,96,79.7,45,0
Jan,14,2017,56,51.6,48,100,93.7,80,0.34
Jan,15,2017,75,62.8,51,100,90.1,69,0.07
Jan,16,2017,70,63.9,59,97,81.1,47,1.24
Jan,17,2017,59,53,50,96,89.5,80,0.03
Jan,18,2017,57,51.6,48,100,92.5,83,1.41
Jan,19,2017,69,57.2,51,96,85.2,58,1.1
Jan,20,2017,76,59.3,47,100,83.5,36,0
Jan,21,2017,82,62.7,45,100,71.1,20,0
Jan,22,2017,69,62.4,50,57,34.4,27,0
Jan,23,2017,75,57.6,43,71,46.7,22,0
Jan,24,2017,85,64.9,41,89,67.4,33,0
Jan,25,2017,69,61.9,43,90,43.6,22,0
Jan,26,2017,58,45.1,34,85,54.5,28,0
Jan,27,2017,57,46.3,33,82,48.8,26,0
Jan,28,2017,61,50.1,39,76,48.5,22,0
Jan,29,2017,70,51.3,31,85,47.3,21,0
Jan,30,2017,80,56.6,33,89,43.8,12,0
Jan,31,2017,77,59,39,84,47.3,19,0
Feb,1,2017,82,58.8,42,100,82.8,31,0
Feb,2,2017,66,56.6,47,84,50.5,39,0
Feb,3,2017,53,49.9,47,66,56.7,52,0
Feb,4,2017,53,50.7,48,100,85.5,66,0
Feb,5,2017,74,61.8,52,100,89.7,71,0.02
Feb,6,2017,79,72,69,90,79.2,58,0.02
Feb,7,2017,88,71,53,96,65.8,15,0
Feb,8,2017,86,67.6,48,74,42.4,20,0
Feb,9,2017,67,53.8,43,71,45.6,26,0
Feb,10,2017,79,63.6,42,93,72.7,48,0
Feb,11,2017,87,74.8,68,93,73.3,43,0
Feb,12,2017,84,71.4,64,96,73.2,51,0
Feb,13,2017,79,69.5,64,84,64.2,44,0
Feb,14,2017,68,55,49,96,77.6,64,1.12
Feb,15,2017,65,51.6,41,79,55.1,24,0.12
Feb,16,2017,69,51.2,35,92,60.1,29,0
Feb,17,2017,77,61.5,47,90,69.6,40,0
Feb,18,2017,86,71.6,62,93,66.6,27,0
Feb,19,2017,80,73.1,67,93,81.3,62,0
Feb,20,2017,71,62,59,100,88.9,57,1.32
Feb,21,2017,80,63.3,49,97,55.1,22,0.05
Feb,22,2017,85,63.8,44,93,56.9,22,0
Feb,23,2017,89,68.1,46,93,61.5,25,0
Feb,24,2017,81,66.8,54,97,59.6,17,0
Feb,25,2017,62,51.3,40,77,46.6,27,0
Feb,26,2017,73,56.8,36,93,80.8,63,0
Feb,27,2017,82,73.3,67,93,77.3,56,0.01
Feb,28,2017,81,73.7,67,93,81,60,0
Mar,1,2017,73,65.5,46,93,54.1,25,0
Mar,2,2017,65,53.9,41,73,36.9,19,0
Mar,3,2017,68,54.2,34,89,49.2,19,0
Mar,4,2017,60,57.5,54,97,85.5,55,0
Mar,5,2017,74,65.9,59,96,86.5,71,0.95
Mar,6,2017,82,73.6,69,90,78.8,56,0.27
Mar,7,2017,74,66.5,60,100,64.5,30,0
Mar,8,2017,75,67.4,60,87,58.7,41,0
Mar,9,2017,80,70.7,67,97,83.5,64,0
Mar,10,2017,81,68.3,57,100,81.5,56,0
Mar,11,2017,68,64.7,61,97,92.9,81,0.02
Mar,12,2017,60,50.3,48,90,85.3,77,0.66
Mar,13,2017,68,54.6,45,97,83.2,49,0
Mar,14,2017,72,53.7,39,97,64,33,0.02
Mar,15,2017,74,58.4,43,97,72.9,41,0
Mar,16,2017,79,67.7,60,93,77.3,56,0.01
Mar,17,2017,82,70.8,65,90,77,50,0
Mar,18,2017,83,70,56,97,81.7,51,0
Mar,19,2017,83,71.7,65,93,75.6,47,0
Mar,20,2017,85,71.5,65,90,72.1,38,0
Mar,21,2017,84,70.6,63,90,74.9,44,0
Mar,22,2017,83,72.6,66,93,73.3,46,0
Mar,23,2017,85,72.8,66,90,66.7,27,0
Mar,24,2017,83,72.2,67,93,76.2,45,0
Mar,25,2017,81,65.5,50,87,59.5,31,0.09
Mar,26,2017,86,70.8,55,97,78.2,37,0
Mar,27,2017,83,75,68,93,75.7,56,0
Mar,28,2017,88,75.4,70,94,76.1,42,0
Mar,29,2017,84,68,61,100,76.7,23,1.31
Mar,30,2017,80,65.6,52,86,55.2,27,0
Mar,31,2017,85,69,50,93,61.8,34,0
Apr,1,2017,79,71.5,64,93,78,62,0
Apr,2,2017,78,67,60,93,84,58,0.04
Apr,3,2017,86,66.9,48,93,65.1,32,0.73
Apr,4,2017,87,71.4,53,93,63.5,35,0
Apr,5,2017,74,63.8,51,83,48.2,27,0
Apr,6,2017,77,60.5,44,93,60.9,25,0
Apr,7,2017,79,64,44,96,61.7,32,0
Apr,8,2017,81,68.4,53,93,71.5,50,0
Apr,9,2017,81,71.2,63,93,78.5,58,0
Apr,10,2017,81,74.9,72,91,82.8,69,0
Apr,11,2017,73,68.3,64,97,90.7,81,0.07
Apr,12,2017,78,67.8,61,97,82.1,60,0.1
Apr,13,2017,83,71.3,65,97,80.6,46,0
Apr,14,2017,83,69.7,58,97,79.4,44,0
Apr,15,2017,83,73.2,67,93,76.8,51,0
Apr,16,2017,84,74.7,68,93,77.8,53,0
Apr,17,2017,78,70.7,64,94,83.8,66,0
Apr,18,2017,79,69.2,61,93,82.5,60,0.05
Apr,19,2017,85,73.7,67,96,78.6,51,0
Apr,20,2017,87,75.5,69,93,76.8,48,0
Apr,21,2017,88,77.2,71,90,71.8,48,0
Apr,22,2017,72,65.9,60,90,73.9,50,0
Apr,23,2017,76,63,50,89,51.7,28,0
Apr,24,2017,81,65.1,44,93,59.6,33,0
Apr,25,2017,90,74,60,93,75,51,0
Apr,26,2017,91,79.2,65,85,55.6,15,0
Apr,27,2017,84,67.8,46,93,59.2,28,0
Apr,28,2017,95,80.4,71,85,69,40,0
Apr,29,2017,92,79.6,67,81,64.5,45,0
Apr,30,2017,78,62.3,52,93,57.3,21,0.16
May,1,2017,89,70.7,51,83,51.9,25,0
May,2,2017,91,74.1,51,97,57.4,27,0
May,3,2017,93,78.7,67,93,68.3,41,0
May,4,2017,79,67.9,55,72,44.1,24,0
May,5,2017,85,67.5,52,83,46.9,19,0
May,6,2017,87,70.5,50,89,52.8,25,0
May,7,2017,87,72.7,53,93,60.5,35,0
May,8,2017,85,73,59,96,68.5,43,0
May,9,2017,80,72.7,64,94,84.7,71,0
May,10,2017,83,76.1,72,91,77.7,58,0.05
May,11,2017,89,78,70,93,76,46,0
May,12,2017,88,75.1,67,93,58.9,27,0
May,13,2017,88,73,56,89,56.5,30,0
May,14,2017,91,75.9,57,93,62.5,36,0
May,15,2017,91,74.7,62,97,72.1,39,0
May,16,2017,86,76.3,69,90,73.4,55,0
May,17,2017,86,76.5,71,94,83.2,53,0.03
May,18,2017,91,80.6,75,94,77.6,48,0.09
May,19,2017,95,81.5,76,87,71.9,43,0
May,20,2017,83,73.8,68,96,84,65,0.52
May,21,2017,78,71.2,64,93,77.1,50,0.23
May,22,2017,76,68,62,93,84.8,71,0.7
May,23,2017,86,70.2,62,97,78.4,46,0.02
May,24,2017,87,71.3,57,83,52,23,0.26
May,25,2017,94,77.7,60,86,59.7,34,0
May,26,2017,93,82.7,77,85,73.7,50,0
May,27,2017,97,84.4,78,93,74.1,47,0
May,28,2017,93,78.6,68,100,80,52,0
May,29,2017,87,76.8,70,93,76.6,51,1.07
May,30,2017,88,77.5,68,96,72.8,45,0
May,31,2017,85,75.2,68,97,80.5,59,0
Jun,1,2017,89,76.4,65,97,80,53,0.02
Jun,2,2017,92,80.1,72,97,76.7,45,0.03
Jun,3,2017,93,78.7,71,96,78.5,42,0
Jun,4,2017,89,75.7,69,97,81.9,45,1.04
Jun,5,2017,90,75.7,68,100,81,46,0.01
Jun,6,2017,90,80,70,97,69.5,39,0.83
Jun,7,2017,93,81,67,93,62,34,0
Jun,8,2017,92,81.5,70,90,64.6,41,0
Jun,9,2017,91,79.8,73,93,72.6,46,0
Jun,10,2017,92,80.6,68,90,63.5,39,0
Jun,11,2017,93,80.9,71,96,67.4,38,0
Jun,12,2017,94,81.6,72,97,70.6,37,0
Jun,13,2017,95,83.2,74,94,72.1,44,0
Jun,14,2017,95,85.2,78,90,67.3,44,0.02
Jun,15,2017,98,84.4,77,94,70.9,39,0
Jun,16,2017,98,84.9,77,88,68.2,40,0
